Term,Count,Ville/Pays,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10
singapore,13,1,0,0.0000147,0,0.0000733,0.0000733,0,0.0000293,0,0,0
chine,14,2,0.0000147,0,0,0.0000440,0.0000586,0.0000586,0.0000147,0,0.0000147,0
shangaï,15,1,0,0,0,0,0,0.0002052,0.0000147,0,0,0
japon,15,2,0.0000147,0,0,0.0000293,0.0000293,0.0001319,0.0000147,0,0,0
inde,29,2,0,0.0000293,0,0.0000147,0,0,0,0,0,0
calcutta,29,1,0.0000293,0.0001026,0.0000586,0.0001905,0.0000147,0.0000147,0.0000147,0,0,0
york,30,1,0.0000440,0.0000147,0,0,0,0,0.0001319,0.0000440,0.0001466,0.0000586
liverpool,31,1,0.0000147,0.0000147,0,0,0,0,0.0000147,0,0.0001759,0.0002345
mongolia,36,2,0,0.0004836,0,0.0000293,0.0000147,0,0,0,0,0
yokohama,44,1,0.0000293,0.0000147,0,0,0.0001759,0.0002638,0.0001612,0,0,0
bombay,61,1,0.0000293,0.0004397,0.0001172,0.0002198,0.0000440,0,0.0000440,0,0,0
londres,63,1,0.0001905,0.0002052,0.0000293,0.0000440,0.0000293,0.0000293,0.0001172,0,0.0000440,0.0002345
hong kong,66,1,0.0000293,0.0000147,0.0000147,0.0003224,0.0004104,0.0001172,0.0000440,0,0.0000147,0
