image;id;Auteur;Nationalite;Titre;Date_de_creation
;1;Martine ABALLÉA;americaine et francaise;Affiche Fantômes négligés, couloirs évaporés;1996
;2;AGNÈS DAHAN STUDIO, Constance GUISSET;;Affiche-programme d'Une Saison Graphique 2016;2016
;3;Leonor ANTUNES;portugaise;sunday # 019. Le hasard est l'ennemi de tous les mètres;2012
;4;Leonor ANTUNES;portugaise;Grid Dancing;2013
;5;Isabelle ARTHUIS;francaise;Affiche Le Banquet;2011
;6;Farah ATASSI;francaise;Atelier;2016
;7;Elena BAJO;espagnole;The Absence of Work;2012
;8;Amy BALKIN;americaine;"Affiche The Atmosphere : A Guide
(L'Atmosphère : un guide)";2013
;9;Eva BARTO;francaise;Farewell;2016
;10;Eva BARTO;francaise;, there is none;2017
;11;Erica BAUM;americaine;Acropolis Columns Art 3;2013
;12;Erica BAUM;americaine;ART from Museum 17;2013
;13;Isolde BAUMGART;allemande;Images internationales pour les droits de l'homme et du citoyen;1988
;14;Martine BEDIN;francaise;Affiche Memphis;1980
;15;Polly BERTRAM;suisse;Affiche Mains et barreaux;1995
;16;Julia BINFIELD;;Affiche Networks & system management Olivetti;1993
;17;Karina BISCH;francaise;Modernist Poncho;2018
;18;Katinka BOCK;allemande;sunday #041. Between arrival and departure;2016
;19;Delphine BOESCHLIN;francaise;Une Kermess Graphique 2014;2014
;20;Diane BOIVIN;francaise;Affiche de la Saison Graphique;2014
;21;Diane BOIVIN;francaise;Affiche de la Saison Graphique;2014
;22;Diane BOIVIN;francaise;Affiche Une saison graphique 2014;2014
;23;Melanie BONAJO;neerlandaise;Gender neutral toilet;2018
;24;Elvire BONDUELLE;francaise;Maison Voiture Chien;2015
;25;Betty BONE;francaise;Affiche Une saison graphique 2012;2012
;26;Irma BOOM;neerlandaise;Affiche Design;s.d.
;27;Sarah BORIS;francaise;Affiche de la Saison Graphique;2015
;28;Sarah BORIS;francaise;Affiche de la Saison Graphique;2015
;29;Claire BRETECHER;francaise;Affiche pour la fête de la musique;1991
;30;Marcelle CAHN;francaise;Affiche d'exposition;s.d.
;31;Sophie CALLE;francaise;Affiche Sans titre;1996
;32;CASA FACTORI, Laure MATERNATI;;Affiche Mains;1995
;33;Laurie CHARLES;belge;Saturn return;2017
;34;Nina CHILDRESS;francaise et americaine;Karen Concert;2018
;35;Julia CHURCH;britannique;Images internationales pour les droits de l'homme et du citoyen;1988
;36;Jagna CIUCHTA;polonaise;All Available Light with Smuggling Smuggling by Céline Vaché-Olivieri;2017
;37;Delphine COINDET;francaise;Etude Prismes;2018
;38;Pauline CURNIER JARDIN;francaise;Ongle;2016
;39;Jil DANIEL, Suzanne HETZEL;;Affiche Mainzer Landstrasse;2008
;40;Sara DE BONDT;belge;Affiche de la Saison Graphique;2011
;41;Sara DE BONDT;belge;Affiche Une saison graphique 2011;2011
;42;Sara DE BONDT;belge;Affiche Une saison graphique 2011;2011
;43;Caroline DELIEUTRAZ;francaise;art_and_sneakers;2018
;44;Caroline DELIEUTRAZ;francaise;Les circulations impures;2020
;45;Mirtha DERMISACHE;argentine;Lectura publica;2005
;46;Thea DJORDJADZE;georgienne;sunday # 031. Untitled;2014
;47;Nathalie DU PASQUIER;francaise;Affiche;1983
;48;Nathalie DU PASQUIER;francaise;Affiche Memphis;1983
;49;Sophie DUBOSC;francaise;Epreuve;2015
;50;Sophie DUBOSC;francaise;Epreuve;2015
;51;Doris EWALD;francaise;Affiche Musikalischer Tee;1909
;52;Sylvie FLEURY;suisse;sunday # 037. Life can get Heavy, Mascara shouldn't;2015
;53;Dora GARCÍA;espagnole;sunday # 006. Men I Love;2010
;54;GHAZEL (Ghazal RAPDAY, dite);iranienne;Urgent;1997
;55;Dominique GHESQUIÈRE;francaise;Feuillus;2014
;56;Dominique GHESQUIÈRE;francaise;Feuillus;2014
;57;Natalia GONTCHAROVA;francaise ;Affiche Théâtre des Petits Comédiens de Bois, de Julie Sazonova;1924
;58;Amy GRANAT;americaine;Jake's feet, Mojave Desert;2016
;59;April GREIMAN;americaine;Images internationales pour les droits de l'homme et du citoyen;1988
;60;Diane GUYOT DE SAINT MICHEL;francaise;Cible molle;2017
;61;Jenny HOLZER;americaine;Affiche Inflammatory Essays;1979
;62;Dominique HURTH;;Séance de lecture;2016
;63;Eiko ISHIOKA;japonaise;Affiche Tradition et nouvelles techniques 22 octobre 15 novembre 1984;1984
;64;Alice JAUNEAU, David VALLANCE;;Affiche Appel à candidatures;2015
;65;Véronique JOUMARD;francaise;Near Fukushima;2014
;66;Véronique JOUMARD;francaise;Near Fukushima;2014
;67;Véronique JOUMARD;francaise;Sans titre;2017
;68;Véronique JOUMARD;francaise;Sans titre;2017
;69;Joséphine KAEPPELIN;francaise;Affiche Il faut qu'il se passe quelque chose.;2014
;70;Joséphine KAEPPELIN;francaise;Affiche Something is off.;2015
;71;Joséphine KAEPPELIN;francaise;Affiche It's already moving.;2015
;72;Joséphine KAEPPELIN;francaise;Affiche We see something else.;2015
;73;Joséphine KAEPPELIN;francaise;Affiche An image will arise.;2015
;74;Joséphine KAEPPELIN;francaise;Affiche Now, it's the moment where the story can start again.;2015
;75;Gitte KATH;danoise;Affiche Observatoire international des prisons, les portemanteaux;1995
;76;Dima KAVKO;;Affiche 20ème festival international de l'affiche et du graphisme de Chaumont 16 mai - 14 juin 2009. Affiche Joconde;2009
;77;Dima KAVKO;;Affiche;2009
;78;Dima KAVKO;;Affiche;2009
;79;Dima KAVKO;;Affiche;2009
;80;Sister Corita KENT (Frances Elizabeth KENT, dite);americaine;morning;1966
;81;Sister Corita KENT (Frances Elizabeth KENT, dite);americaine;help the big bird;1966
;82;Sister Corita KENT (Frances Elizabeth KENT, dite);americaine;phil and dan;1969
;83;Aglaia KONRAD;autrichienne;sunday # 010. en bloc;2011
;84;Sarah KREMER;;Affiche ANRT (affiche de Atelier National de Recherche Typographique);2013
;85;Susanne KRIEMANN;allemande;Het Licht (Poster);2012
;86;Claire LEBRETON, Franck MARRY;;Affiche de la Saison Graphique;2019
;87;Seulgi LEE;sud-coreenne;Notre belle France;2016
;88;Anette LENZ, Vincent PERROTTET;;Affiche Théâtre d'Angoulême sept-oct 2004;2004
;89;Anette LENZ;allemande;Affiche pour la fête de la musique;2001
;90;Anette LENZ;allemande;Affiche Anette + Vincent;2010
;91;Anette LENZ;allemande;Affiche Pharenheit festival de danse, du 23 janvier au 7 février 2015;2015
;92;Sheila LEVRANT DE BRETTEVILLE;;Affiche Feminist studio workshop;1972
;93;Sheila LEVRANT DE BRETTEVILLE;;Affiche Pink is childish;1974
;94;Sheila LEVRANT DE BRETTEVILLE;;Affiche Women in Design: The next decade;1975
;95;Blanche MAC MANUS;americaine;Affiche Scribner's Fiction Number;1895
;96;Laurence MADRELLE, Olivier DANGLA;;Affiche Mannequins;1995
;97;Alejandro MAGALLANES;mexicaine;Affiche 20ème festival international de l'affiche et du graphisme de Chaumont 16 mai - 14 juin 2009. Affiche Mur;2009
;98;Alejandro MAGALLANES;mexicaine;Affiche;2009
;99;Alejandro MAGALLANES;mexicaine;Affiche;2009
;100;Alejandro MAGALLANES;mexicaine;Affiche;2009
;101;Laurent MALONE, Francine ZUBEIL;;Affiche Attablé;1995
;102;MANLEF (Manon LEFEBVRE, dite);francaise;Affiche de la Saison Graphique;2019
;103;Lika MAROWSKA (Angélique Jeanne MAROWSKA, dit);francaise;Affiche Künstler MaskenFest - Modenarrheiten aus allen Zeiten;1912
;104;Lika MAROWSKA (Angélique Jeanne MAROWSKA, dit);francaise;Affiche Deutscher Zuverlässigkeits Flug am Oberrhein;1912
;105;matali crasset;francaise;Construction mentale;2018
;106;Paulina MATUSIAK;neerlandaise et polonaise;Affiche 20ème festival international de l'affiche et du graphisme de Chaumont 16 mai - 14 juin 2009. Affiche Oiseaux et fleurs;2009
;107;Paulina MATUSIAK;neerlandaise et polonaise;Affiche;2009
;108;Paulina MATUSIAK;neerlandaise et polonaise;Affiche;2009
;109;Paulina MATUSIAK;neerlandaise et polonaise;Affiche;2009
;110;Fanette MELLIER;francaise;Affiche Losanges couleurs;s.d.
;111;Fanette MELLIER;francaise;Affiche Celles qui savaient;s.d.
;112;Fanette MELLIER;francaise;Affiche Etude d'une affiche pour la fête de la musique 2008;2008
;113;Fanette MELLIER;francaise;Affiche pour la fête de la musique;2008
;114;Fanette MELLIER;francaise;Affiche pour la fête de la musique;2008
;115;Fanette MELLIER;francaise;Affiche Professions culture;2009
;116;Fanette MELLIER;francaise;Affiche Professions culture;2009
;117;Fanette MELLIER;francaise;Affiche Professions culture;2009
;118;Fanette MELLIER;francaise;Affiche Professions culture;2009
;119;Fanette MELLIER;francaise;Affiche L'art dans la rue;2010
;120;Fanette MELLIER;francaise;Affiche L'art dans la rue;2010
;121;Fanette MELLIER;francaise;Affiche de la Saison Graphique;2013
;122;Fanette MELLIER;francaise;Affiche de la Saison Graphique;2013
;123;Fanette MELLIER;francaise;Affiche de la Saison Graphique;2014
;124;Nathalie MINNE;francaise;Affiche Visage;1995
;125;Anita MOLINERO;francaise;Sans titre mais avec particules;2015
;126;Anita MOLINERO;francaise;Sans titre mais avec particules;2015
;127;MOREPUBLISHERS, Dora GARCÍA;;In an Old House;2018
;128;Claire MOREUX;francaise;Affiche Fête de la musique;2011
;129;Claire MOREUX;francaise;Affiche Fête de la musique;2011
;130;Flora MOSCOVICI;francaise;Sans titre;2018
;131;Otobong NKANGA;nigeriane et belge;Affiche Object Atlas: War and Love Booty;2011
;132;Otobong NKANGA;nigeriane et belge;Affiche Object Atlas: The Currency Affair;2011
;133;Alexandra NOTH;suisse;Affiche;2009
;134;Alexandra NOTH;suisse;Affiche;2009
;135;Alexandra NOTH;suisse;Affiche;2009
;136;Sophie NYS;belge;sunday # 003. Exhibition;2010
;137;Marjorie OBER;francaise;Affiche de la Saison Graphique;2019
;138;Anouchka OLER;francaise;The Thing Show : Ego;2018
;139;Anouchka OLER;francaise;The Thing Show : Jox Colombox;2018
;140;Anouchka OLER;francaise;All Insure, All Unsure;2019
