image;id;Auteur;Nationalite;Titre;Date_de_creation;Image;Couleur
;1;Martine ABALLÉA;americaine et francaise;Affiche Fantômes négligés, couloirs évaporés;1996;image001.jpg;171,160,150
;2;AGNÈS DAHAN STUDIO, Constance GUISSET;;Affiche-programme d'Une Saison Graphique 2016;2016;image002.jpg;27,46,69
;3;Leonor ANTUNES;portugaise;sunday # 019. Le hasard est l'ennemi de tous les mètres;2012;image003.jpg;35,35,35
;4;Leonor ANTUNES;portugaise;Grid Dancing;2013;image004.jpg;56,55,55
;5;Isabelle ARTHUIS;francaise;Affiche Le Banquet;2011;image005.jpg;203,200,186
;6;Farah ATASSI;francaise;Atelier;2016;image006.jpg;225,223,212
;7;Elena BAJO;espagnole;The Absence of Work;2012;image007.jpg;191,186,171
;8;Amy BALKIN;americaine;"Affiche The Atmosphere : A Guide
(L'Atmosphère : un guide)";2013;image008.jpg;216,217,221
;9;Eva BARTO;francaise;Farewell;2016;image009.jpg;152,139,121
;10;Eva BARTO;francaise;, there is none;2017;image010.jpg;222,222,222
;11;Erica BAUM;americaine;Acropolis Columns Art 3;2013;image011.jpg;149,149,149
;12;Erica BAUM;americaine;ART from Museum 17;2013;image012.jpg;58,58,58
;13;Isolde BAUMGART;allemande;Images internationales pour les droits de l'homme et du citoyen;1988;image013.jpg;122,74,55
;14;Martine BEDIN;francaise;Affiche Memphis;1980;image014.jpg;178,176,171
;15;Polly BERTRAM;suisse;Affiche Mains et barreaux;1995;image015.JPG;221,221,222
;16;Julia BINFIELD;;Affiche Networks & system management Olivetti;1993;image016.jpg;212,206,196
;17;Karina BISCH;francaise;Modernist Poncho;2018;image017.jpg;29,33,112
;18;Katinka BOCK;allemande;sunday #041. Between arrival and departure;2016;image018.jpg;191,196,202
;19;Delphine BOESCHLIN;francaise;Une Kermess Graphique 2014;2014;image019.jpg;138,129,45
;20;Diane BOIVIN;francaise;Affiche de la Saison Graphique;2014;image020.jpg;154,152,151
;21;Diane BOIVIN;francaise;Affiche de la Saison Graphique;2014;image021.jpg;223,221,217
;22;Diane BOIVIN;francaise;Affiche Une saison graphique 2014;2014;image022.JPG;221,221,222
;23;Melanie BONAJO;neerlandaise;Gender neutral toilet;2018;image023.jpg;224,223,217
;24;Elvire BONDUELLE;francaise;Maison Voiture Chien;2015;image024.jpg;241,238,230
;25;Betty BONE;francaise;Affiche Une saison graphique 2012;2012;image025.JPG;30,33,32
;26;Irma BOOM;neerlandaise;Affiche Design;s.d.;image026.jpg;217,214,210
;27;Sarah BORIS;francaise;Affiche de la Saison Graphique;2015;image027.jpg;23,38,78
;28;Sarah BORIS;francaise;Affiche de la Saison Graphique;2015;image028.jpg;49,40,32
;29;Claire BRETECHER;francaise;Affiche pour la fête de la musique;1991;image029.JPG;219,219,220
;30;Marcelle CAHN;francaise;Affiche d'exposition;s.d.;image030.jpg;67,115,85
;31;Sophie CALLE;francaise;Affiche Sans titre;1996;image031.jpg;42,38,40
;32;CASA FACTORI, Laure MATERNATI;;Affiche Mains;1995;image032.JPG;203,201,201
;33;Laurie CHARLES;belge;Saturn return;2017;image033.jpg;86,68,43
;34;Nina CHILDRESS;francaise et americaine;Karen Concert;2018;image034.jpg;46,36,34
;35;Julia CHURCH;britannique;Images internationales pour les droits de l'homme et du citoyen;1988;image035.jpg;57,156,201
;36;Jagna CIUCHTA;polonaise;All Available Light with Smuggling Smuggling by Céline Vaché-Olivieri;2017;image036.jpg;132,121,207
;37;Delphine COINDET;francaise;Etude Prismes;2018;image037.jpg;44,134,142
;38;Pauline CURNIER JARDIN;francaise;Ongle;2016;image038.jpg;29,33,42
;39;Jil DANIEL, Suzanne HETZEL;;Affiche Mainzer Landstrasse;2008;image039.JPG;232,232,233
;40;Sara DE BONDT;belge;Affiche de la Saison Graphique;2011;image040.jpg;233,66,58
;41;Sara DE BONDT;belge;Affiche Une saison graphique 2011;2011;image041.JPG;198,198,197
;42;Sara DE BONDT;belge;Affiche Une saison graphique 2011;2011;image042.JPG;46,43,84
;43;Caroline DELIEUTRAZ;francaise;art_and_sneakers;2018;image043.JPG;209,203,200
;44;Caroline DELIEUTRAZ;francaise;Les circulations impures;2020;image044.JPG;220,220,220
;45;Mirtha DERMISACHE;argentine;Lectura publica;2005;image045.jpg;213,213,213
;46;Thea DJORDJADZE;georgienne;sunday # 031. Untitled;2014;image046.jpg;214,216,216
;47;Nathalie DU PASQUIER;francaise;Affiche;1983;image047.jpg;25,92,107
;48;Nathalie DU PASQUIER;francaise;Affiche Memphis;1983;image048.JPG;211,203,109
;49;Sophie DUBOSC;francaise;Epreuve;2015;image049.jpg;214,226,250
;50;Sophie DUBOSC;francaise;Epreuve;2015;image050.jpg;214,226,250
;51;Doris EWALD;francaise;Affiche Musikalischer Tee;1909;image051.jpg;149,143,123
;52;Sylvie FLEURY;suisse;sunday # 037. Life can get Heavy, Mascara shouldn't;2015;image052.jpg;223,217,210
;53;Dora GARCÍA;espagnole;sunday # 006. Men I Love;2010;image053.jpg;216,216,216
;54;GHAZEL (Ghazal RAPDAY, dite);iranienne;Urgent;1997;image054.JPG;50,50,50
;55;Dominique GHESQUIÈRE;francaise;Feuillus;2014;image055.jpg;209,215,233
;56;Dominique GHESQUIÈRE;francaise;Feuillus;2014;image056.jpg;209,215,233
;57;Natalia GONTCHAROVA;francaise ;Affiche Théâtre des Petits Comédiens de Bois, de Julie Sazonova;1924;image057.jpg;211,172,139
;58;Amy GRANAT;americaine;Jake's feet, Mojave Desert;2016;image058.jpg;174,174,174
;59;April GREIMAN;americaine;Images internationales pour les droits de l'homme et du citoyen;1988;image059.jpg;48,50,55
;60;Diane GUYOT DE SAINT MICHEL;francaise;Cible molle;2017;image060.jpg;231,230,228
;61;Jenny HOLZER;americaine;Affiche Inflammatory Essays;1979;image061.jpg;148,105,58
;62;Dominique HURTH;;Séance de lecture;2016;image062.JPG;61,67,54
;63;Eiko ISHIOKA;japonaise;Affiche Tradition et nouvelles techniques 22 octobre 15 novembre 1984;1984;image063.JPG;77,67,67
;64;Alice JAUNEAU, David VALLANCE;;Affiche Appel à candidatures;2015;image064.JPG;37,37,37
;65;Véronique JOUMARD;francaise;Near Fukushima;2014;image065.jpg;180,184,194
;66;Véronique JOUMARD;francaise;Near Fukushima;2014;image066.jpg;80,63,40
;67;Véronique JOUMARD;francaise;Sans titre;2017;image067.jpg;229,227,222
;68;Véronique JOUMARD;francaise;Sans titre;2017;image068.jpg;82,186,232
;69;Joséphine KAEPPELIN;francaise;Affiche Il faut qu'il se passe quelque chose.;2014;image069.jpg;71,63,56
;70;Joséphine KAEPPELIN;francaise;Affiche Something is off.;2015;image070.jpg;225,212,200
;71;Joséphine KAEPPELIN;francaise;Affiche It's already moving.;2015;image071.jpg;101,130,132
;72;Joséphine KAEPPELIN;francaise;Affiche We see something else.;2015;image072.jpg;173,172,171
;73;Joséphine KAEPPELIN;francaise;Affiche An image will arise.;2015;image073.jpg;160,100,84
;74;Joséphine KAEPPELIN;francaise;Affiche Now, it's the moment where the story can start again.;2015;image074.jpg;160,147,133
;75;Gitte KATH;danoise;Affiche Observatoire international des prisons, les portemanteaux;1995;image075.JPG;156,147,96
;76;Dima KAVKO;;Affiche 20ème festival international de l'affiche et du graphisme de Chaumont 16 mai - 14 juin 2009. Affiche Joconde;2009;image076.JPG;52,45,46
;77;Dima KAVKO;;Affiche;2009;image077.jpg;40,20,26
;78;Dima KAVKO;;Affiche;2009;image078.jpg;40,20,26
;79;Dima KAVKO;;Affiche;2009;image079.jpg;40,20,26
;80;Sister Corita KENT (Frances Elizabeth KENT, dite);americaine;morning;1966;image080.jpg;242,87,22
;81;Sister Corita KENT (Frances Elizabeth KENT, dite);americaine;help the big bird;1966;image081.jpg;212,74,102
;82;Sister Corita KENT (Frances Elizabeth KENT, dite);americaine;phil and dan;1969;image082.jpg;189,187,179
;83;Aglaia KONRAD;autrichienne;sunday # 010. en bloc;2011;image083.jpg;162,159,142
;84;Sarah KREMER;;Affiche ANRT (affiche de Atelier National de Recherche Typographique);2013;image084.jpg;208,212,216
;85;Susanne KRIEMANN;allemande;Het Licht (Poster);2012;image085.jpg;222,221,224
;86;Claire LEBRETON, Franck MARRY;;Affiche de la Saison Graphique;2019;image086.jpg;232,94,41
;87;Seulgi LEE;sud-coreenne;Notre belle France;2016;image087.jpg;61,51,35
;88;Anette LENZ, Vincent PERROTTET;;Affiche Théâtre d'Angoulême sept-oct 2004;2004;image088.jpg;230,226,223
;89;Anette LENZ;allemande;Affiche pour la fête de la musique;2001;image089.JPG;225,223,224
