astronaut,astronautLabel,date_of_birth,country_of_citizenship,country_of_citizenshipLabel
http://www.wikidata.org/entity/Q457064,Roman Romanenko,1971-08-09T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q457064,Roman Romanenko,1971-08-09T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q460161,Henry Hartsfield,1933-11-21T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q460440,William R. Pogue,1930-01-23T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q461777,Timothy Creamer,1959-11-15T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q461788,David Wolf,1956-08-23T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q461795,Robert Thirsk,1953-08-17T00:00:00Z,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q461807,Maksim Surayev,1972-05-24T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q461807,Maksim Surayev,1972-05-24T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q461821,Eric Boe,1964-10-01T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q461840,Jing Haipeng,1966-10-24T00:00:00Z,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q461860,Douglas H. Wheelock,1960-05-05T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q461872,Gregory Chamitoff,1962-08-06T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q461887,Takao Doi,1954-09-18T00:00:00Z,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q462132,Story Musgrave,1935-08-19T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q462853,Richard R. Arnold,1963-11-26T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q463086,Stephen Bowen,1964-02-13T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q463833,Vance D. Brand,1931-05-09T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q464166,Kathryn D. Sullivan,1951-10-03T00:00:00Z,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q465461,Yury Glazkov,1939-10-02T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q465461,Yury Glazkov,1939-10-02T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q465724,Anatoly Berezovoy,1942-04-11T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q465724,Anatoly Berezovoy,1942-04-11T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q465748,Aleksei Gubarev,1931-03-29T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q465748,Aleksei Gubarev,1931-03-29T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q466069,Vladimir Titov,1947-01-01T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q466069,Vladimir Titov,1947-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q466075,Pavel Vinogradov,1953-08-31T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q466483,Aleksandr Pavlovich Aleksandrov,1943-02-20T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q466513,Vladimir Dzhanibekov,1942-05-13T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q466513,Vladimir Dzhanibekov,1942-05-13T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q467623,Oleg Grigoryevich Makarov,1933-01-06T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q467623,Oleg Grigoryevich Makarov,1933-01-06T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q467732,Musa Manarov,1951-03-22T00:00:00Z,http://www.wikidata.org/entity/Q227,Azerbaijan
http://www.wikidata.org/entity/Q467732,Musa Manarov,1951-03-22T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q468250,Vladimir Aksyonov,1935-02-01T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q468258,Toktar Aubakirov,1946-07-27T00:00:00Z,http://www.wikidata.org/entity/Q232,Kazakhstan
http://www.wikidata.org/entity/Q468258,Toktar Aubakirov,1946-07-27T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q470059,Liu Wang,1969-03-25T00:00:00Z,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q470256,Gennadi Strekalov,1940-10-26T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q470256,Gennadi Strekalov,1940-10-28T00:00:00Z,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q470256,Gennadi Strekalov,1940-10-26T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
http://www.wikidata.org/entity/Q470256,Gennadi Strekalov,1940-10-28T00:00:00Z,http://www.wikidata.org/entity/Q15180,Soviet Union
